response,previous_response,contrast,previous_contrast,orientation,ID,predictor,Gl_Prob_State_ext,Gl_Prob_State_int
0,1,1,2,-1.0,1,3,0.7861908288564486,0.21380917114357462
0,-1,-1,1,,1,0,0.8153931297540087,0.18460687024603917
1,-1,1,0,2.0,1,-1,0.8520015101424071,0.14799848985759612
1,1,1,1,-1.0,1,2,0.8669152162609216,0.13308478373904137
0,1,-1,1,,1,2,0.887597203986805,0.11240279601315627
0,-1,-1,0,,1,-1,0.8932480144256699,0.1067519855742758
0,-1,-1,0,,1,-1,0.9038300324319389,0.0961699675680712
1,-1,2,0,10.0,1,-1,0.9196085921647126,0.08039140783532184
1,1,1,2,1.0,1,3,0.9289547253218399,0.07104527467813627
0,1,-1,1,,1,2,0.9431971034850446,0.0568028965149883
1,-1,1,0,0.0,1,-1,0.9472889965539261,0.05271100344606455
1,1,1,1,3.0,1,2,0.9431655144332187,0.056834485566798584
1,1,1,1,3.0,1,2,0.9432538663816437,0.05674613361834418
1,1,1,1,-3.0,1,2,0.9475562677414037,0.0524437322585966
0,1,-1,1,,1,2,0.9561805971842289,0.04381940281578784
0,-1,-1,0,,1,-1,0.9569995569549485,0.04300044304509144
0,-1,-1,0,,1,-1,0.9618402590022552,0.03815974099776445
1,-1,2,0,10.0,1,-1,0.9708240793819634,0.02917592061805244
0,1,-1,2,,1,3,0.9768251693692251,0.023174830630719116
1,-1,1,0,2.0,1,-1,0.9777235494586426,0.022276450541382293
1,1,1,1,-2.0,1,2,0.9739440753780191,0.026055924621969442
1,1,1,1,-1.0,1,2,0.9738278812243808,0.02617211877558718
1,1,1,1,0.0,1,2,0.9773720535385293,0.022627946461479934
0,1,-1,1,,1,2,0.9846654591112353,0.01533454088878915
1,-1,1,0,-3.0,1,-1,0.987601112751816,0.012398887248173902
1,1,1,1,-3.0,1,2,0.9875673235731853,0.012432676426789994
0,1,-1,1,,1,2,0.9907917495780344,0.009208250421935037
1,-1,2,0,-10.0,1,-1,0.9916440184622984,0.008355981537711941
0,1,-1,2,,1,3,0.9923693308909384,0.007630669109054168
0,-1,-1,0,,1,-1,0.9913113089417062,0.008688691058322017
1,-1,1,0,1.0,1,-1,0.9933340753439399,0.006665924656011043
0,1,-1,1,,1,2,0.993754107071759,0.00624589292818582
0,-1,-1,0,,1,-1,0.9927700426386834,0.007229957361311293
1,-1,1,0,-3.0,1,-1,0.9947965119577259,0.005203488042252977
0,1,1,1,-2.0,1,2,0.9956140228154379,0.004385977184549003
1,-1,2,1,-10.0,1,0,0.9938799491954933,0.006120050804562714
0,1,-1,2,,1,3,0.9922816810547045,0.007718318945250221
0,-1,-1,0,,1,-1,0.9885182348324255,0.011481765167621392
0,-1,-1,0,,1,-1,0.9879970924617552,0.01200290753819983
1,-1,1,0,0.0,1,-1,0.9907051867877361,0.009294813212294093
1,1,2,1,10.0,1,2,0.9911018815123249,0.008898118487706944
0,1,1,2,-2.0,1,3,0.9938565884885502,0.006143411511414201
1,-1,1,1,3.0,1,0,0.993125670127785,0.006874329872223479
1,1,1,1,2.0,1,2,0.9906794164858678,0.009320583514108097
0,1,-1,1,,1,2,0.9913486831958228,0.00865131680413594
0,-1,-1,0,,1,-1,0.9899699635149862,0.010030036484984574
1,-1,2,0,-10.0,1,-1,0.9917293164670886,0.008270683532947236
0,1,-1,2,,1,3,0.9933097022975237,0.006690297702511293
1,-1,1,0,3.0,1,-1,0.9933278724431494,0.006672127556810004
1,1,1,1,0.0,1,2,0.9917924198043416,0.008207580195611883
0,1,-1,1,,1,2,0.9933124565585327,0.006687543441430385
1,-1,1,0,0.0,1,-1,0.9932759846819242,0.006724015318030201
0,1,-1,1,,1,2,0.9916657561457568,0.008334243854248228
0,-1,-1,0,,1,-1,0.9877202727541862,0.012279727245803942
0,-1,-1,0,,1,-1,0.9870533604760099,0.012946639524011507
1,-1,1,0,-2.0,1,-1,0.9896482971123691,0.010351702887651863
0,1,-1,1,,1,2,0.989720857422789,0.010279142577250369
0,-1,-1,0,,1,-1,0.9873053561297671,0.01269464387025928
1,-1,2,0,-10.0,1,-1,0.9881395672978089,0.011860432702214879
0,1,1,2,0.0,1,3,0.9884071188291093,0.01159288117087859
0,-1,1,1,1.0,1,0,0.9827622296056285,0.01723777039433903
1,-1,1,1,1.0,1,0,0.9873395819521162,0.012660418047922888
0,1,-1,1,,1,2,0.9886379678292144,0.011362032170742777
0,-1,-1,0,,1,-1,0.9872714109491577,0.012728589050897658
1,-1,1,0,0.0,1,-1,0.9891505038896904,0.010849496110354608
0,1,-1,1,,1,2,0.9884606005799877,0.011539399420048375
0,-1,-1,0,,1,-1,0.9848754366956373,0.01512456330441634
1,-1,1,0,0.0,1,-1,0.9846513160115827,0.01534868398841428
1,1,2,1,-10.0,1,2,0.9808188384907813,0.019181161509211953
1,1,1,2,1.0,1,3,0.979379292884252,0.020620707115762527
1,1,1,1,1.0,1,2,0.9814379517741226,0.01856204822583169
0,1,-1,1,,1,2,0.9870464340980715,0.01295356590196943
1,-1,1,0,2.0,1,-1,0.9890954215451854,0.010904578454847517
0,1,-1,1,,1,2,0.988553907155329,0.011446092844700013
1,-1,1,0,-3.0,1,-1,0.9851658016706495,0.014834198329385796
1,1,1,1,2.0,1,2,0.9773288255665268,0.022671174433499582
0,1,-1,1,,1,2,0.9732792320390655,0.026720767960948102
1,-1,1,0,3.0,1,-1,0.9625556077021975,0.03744439229779423
1,1,1,1,-2.0,1,2,0.9400866099481389,0.059913390051873315
1,1,2,1,10.0,1,2,0.9231986305413333,0.07680136945861167
0,1,-1,2,,1,3,0.9088194327195711,0.09118056728045197
0,-1,-1,0,,1,-1,0.8761403274163581,0.12385967258361882
0,-1,-1,0,,1,-1,0.8503774510887141,0.14962254891124832
0,-1,-1,0,,1,-1,0.8308848238181423,0.1691151761818014
0,-1,-1,0,,1,-1,0.8171736862901999,0.1828263137098132
0,-1,-1,0,,1,-1,0.8089002446135101,0.19109975538644766
1,-1,1,0,3.0,1,-1,0.8058570500114975,0.19414294998850581
0,1,-1,1,,1,2,0.7844508443433131,0.21554915565664987
0,-1,-1,0,,1,-1,0.7345583521690618,0.2654416478309063
1,-1,1,0,-2.0,1,-1,0.6934765137486407,0.30652348625137715
1,1,1,1,0.0,1,2,0.6068780373394687,0.3931219626605227
